city,title,location,rating,room_type,price,guests,beds,bathrooms
LA,2BED/2BATH LA LUX HIGHRISE + VIEWS! ,Mid-Wilshire,4.71,Entire apartment,174.00,5.00,2.00,2.00
LA,Villa Guest Suite 5 Minutes From Hollywood Boulevard,Hollywood Hills,4.80,Entire house,124.00,2.00,1.00,1.00
LA,Writer's Retreat away from traffic,Mount Washington,4.30,Entire house,58.00,6.00,4.00,1.00
LA,Hear Waves Crash! StudioSteps2Bch!Amazon Firestick,San Pedro,4.64,Entire apartment,180.00,3.00,0.00,1.00
LA,Breathtaking Views from Chic Mid Century Modern House,Hollywood Hills,4.86,Entire house,300.00,5.00,2.00,2.00
LA,"Admire Amazing Views from a Modern, Zen-like Guest Suite",Echo Park,4.92,Entire guest suite,119.00,2.00,2.00,1.00
LA,Modern Guest Suite in Trendy Highland Park,Highland Park,4.91,Private room,83.00,3.00,2.00,1.00
LA,Private Malibu Getaway with White Water Ocean Views,Malibu,4.91,Entire guest suite,289.00,4.00,1.00,1.00
LA,Gorgeous Mid-Century Modern Loft with Fire Pit,Lincoln Heights,4.88,Entire loft,110.00,2.00,1.00,1.00
LA,DISTANCE IN STYLE Luxury Back House+Infinity Pool,Glendale,4.86,Entire guest suite,233.00,3.00,3.00,1.00
LA,Charming Craftsman with Outdoor Shower,Venice,4.88,Entire cottage,169.00,3.00,2.00,1.00
LA,Ultimate luxury awaits you by LAX,Westchester/Playa Del Rey,4.73,Entire apartment,165.00,2.00,1.00,1.00
LA,The Little Venice Garden Guest Suite,Venice,4.90,Entire guest suite,50.00,1.00,1.00,1.00
LA,Exclusive Hollywood Hills Guest Suite & Epic Views,Hollywood Hills,4.90,Private room,95.00,2.00,2.00,1.50
LA,"Los Feliz Oasis Cottage, Pool and Spa",Los Feliz,4.83,Entire guesthouse,139.00,2.00,1.00,1.00
LA,"Charming Guests Suite in Hancock Park,  2BD, Pool",Mid-Wilshire,4.90,Private room,80.00,4.00,3.00,1.00
LA,The Outlaw Hideaway fort.,Mount Washington,4.38,Entire house,41.00,4.00,2.00,1.00
LA,"Luxury Seaside Studio,  Pool",Del Rey,4.71,Entire guesthouse,139.00,3.00,1.00,1.00
LA,House With The Blue Door,Highland Park,4.98,Entire apartment,65.00,2.00,1.00,1.00
LA,Retreat to a Private Studio With All the Comforts of Home,Long Beach,4.96,Entire guesthouse,99.00,3.00,2.00,1.00
LA,Hobbit House in Artistic Oasis near Venice and LAX,Del Rey,4.81,Private room,60.00,3.00,2.00,1.00
LA,"Cozy, Rustic Loft with Mid-Century Modern Vibe",Lincoln Heights,4.85,Entire loft,119.00,2.00,1.00,1.00
LA,"Private Master Suite in Modern, Renovated Bungalow",West Los Angeles,4.95,Private room,122.00,2.00,1.00,1.00
LA,Plant Lovers Guesthouse Nestled in Tropical Pool Oasis,Reseda,4.97,Entire guesthouse,150.00,2.00,1.00,1.00
LA,*HUGE & Beautiful Loft* Los Angeles :),Downtown,4.57,Entire loft,146.00,10.00,6.00,1.00
LA,$4.5M Modern Jetliner City Views New Construction,Laurel Canyon,4.93,Entire house,775.00,7.00,3.00,2.50
LA,Sunset Luxe Suite With Pool #1,Hollywood,4.36,Entire apartment,154.00,2.00,1.00,1.00
LA,"Contemporary, Spanish-Style House",Mid-City,4.96,Entire house,155.00,4.00,2.00,1.00
LA,Hilltop Airstream Retreat with Gorgeous Views,Echo Park,4.94,Camper/RV,50.00,2.00,1.00,1.00
LA,Exclusive Hollywood Hills Guest Suite & Epic Views,Hollywood Hills,4.90,Private room,95.00,2.00,2.00,1.50
LA,Luxurious Home Overlooking Venice Canals Monthly Discounts,Venice,4.85,Entire house,390.00,8.00,3.00,2.50
LA,The Masterpiece Beverly Hills Gated Mansion,Bel Air/Beverly Crest,4.71,Entire villa,2495.00,16.00,7.00,5.00
LA,Mid Century Hillside Bungalow with Valley Views,Hollywood Hills,4.82,Entire house,275.00,6.00,3.00,2.00
LA,"Los Feliz Oasis Cottage, Pool and Spa",Los Feliz,4.83,Entire guesthouse,139.00,2.00,1.00,1.00
LA,Beautiful Loft with Stunning City Views and Rooftop Pool,Downtown,4.89,Entire loft,99.00,4.00,1.00,1.00
LA,L.A. Lifestyle--like you live here,Mid-City,4.78,Private room,89.00,4.00,2.00,1.00
LA,Bungalow by Beach  Caspar & Parking & Bikes,Redondo Beach,4.96,Entire house,125.00,2.00,2.00,1.00
LA,House With The Blue Door,Highland Park,4.98,Entire apartment,65.00,2.00,1.00,1.00
LA,Brand New Stunning Modern in Hollywood Hills!!!,Cahuenga Pass,4.81,Entire house,446.00,12.00,6.00,3.00
LA,"Private quarters , walking distance to the beach.",San Pedro,4.66,Entire apartment,63.00,2.00,1.00,1.00
LA,Artistic Topanga Mermaid Suite,Topanga,4.42,Entire apartment,94.00,4.00,0.00,1.00
LA,Modern Design Loft Close to Downtown LA,Lincoln Heights,4.85,Entire loft,109.00,2.00,1.00,1.00
LA,New Entire House 4 Oversized Bedrooms Kitchen+More,Wilmington,4.83,Entire house,158.00,10.00,5.00,2.00
LA,"LA, Top of the Hills, Views, Pool, Private Suite",West Hills,4.99,Entire guest suite,99.00,2.00,1.00,1.00
LA,$4.5M Modern Jetliner City Views New Construction,Laurel Canyon,4.93,Entire house,775.00,7.00,3.00,2.50
LA,Hacienda Hideaway-Topanga Cyn View,Topanga,4.61,Entire apartment,93.00,2.00,1.00,1.00
LA,5-STAR LA PENTHOUSE LOFT + HIGHRISE AMAZING VIEW,Mid-Wilshire,4.81,Entire loft,195.00,2.00,1.00,1.00
LA,Mid Century Hillside Bungalow with Valley Views,Hollywood Hills,4.82,Entire house,318.00,6.00,3.00,2.00
LA,Cozy Studio Guest House with Courtyard Garden,Hollywood,4.75,Entire house,101.00,2.00,1.00,1.00
LA,PRIVATE CENTRAL GUESTHOUSE - LOVELY,Mid-City,4.91,Entire guesthouse,87.00,3.00,2.00,1.00
LA,Bungalow by Beach  Caspar & Parking & Bikes,Redondo Beach,4.96,Entire house,149.00,2.00,2.00,1.00
LA,Hillside peaceful studio,Mount Washington,4.74,Entire house,56.00,4.00,2.00,1.00
LA,Private Room in an Elegant French Gothic Home,Mid-Wilshire,4.85,Private room,79.00,2.00,1.00,1.00
LA,Comfortable Private Studio w Kitchen near DTLA,Boyle Heights,4.74,Entire guesthouse,71.00,2.00,1.00,1.00
LA,Private Suite in  Luxury Home near LAX,Westchester/Playa Del Rey,4.81,Entire apartment,143.00,2.00,1.00,1.00
LA,Hollywood Hills panoramic penthouse,Hollywood Hills,4.63,Entire guest suite,158.00,2.00,2.00,1.00
LA,Treehouse TranquilityEscape to SerenityViews,Topanga,4.96,Entire guest suite,169.00,2.00,1.00,1.00
LA,Private cozy cottage in Los Angeles,Mid-Wilshire,4.90,Entire guesthouse,70.00,2.00,1.00,1.00
LA,The Beach Studio,Long Beach,4.75,Entire house,99.00,2.00,1.00,1.00
LA,Architectural Masterpiece with Roof Deck,Venice,4.96,Entire house,452.00,8.00,5.00,2.50
